"","genes","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"uc001yqi.4","NUDT14",-1.32613484399093,7.70180842670233,-4.75681040115739,4.62181594569054e-05,0.00027256863269457,1.756026902727
"uc001ynw.1","AK097119",1.33175212766333,7.03400503770933,4.73653465214619,4.89345940934492e-05,0.000284935611177046,1.70655184778087
"uc001yrf.2","CRIP2",-1.5841117808834,7.57155355545784,-4.71256378245524,5.2351537359148e-05,0.000297305026977878,1.65967006748896
"uc001xym.2","CALM1",-2.56256378533303,5.32396359884467,-4.58491679765948,7.49570687587027e-05,0.000400933158476782,1.59921635745064
"uc001wth.1","INSM2",2.4312854008072,3.27044516189294,4.56185112487545,7.99717927901219e-05,0.000422839364177656,1.54653733850258
"uc001xxq.3","FOXN3-AS1",-1.22875133255339,7.77933992169742,-4.6531878399469,6.18710240670709e-05,0.000338817512748246,1.42802174955888
"uc001xjh.1","PLEK2",-0.823070693213946,8.93223698393293,-4.70274869586113,5.38181508523765e-05,0.000301906699903576,1.30626126503446
"uc001xov.1","BC038204",-2.55281759386621,4.26252490426826,-4.40704987224649,0.000123385805820957,0.000644971257700457,1.14993326671618
"uc001xcg.3","KTN1",2.24492465422485,3.81948483974029,4.36634945576094,0.00013824264067261,0.000714512524824724,1.03546047733652
"uc001yej.1","SYNE3",2.24818632711428,3.66816396649783,4.24833707442062,0.000192056148380889,0.000970833277529768,0.749436450148393
"uc021rtf.1","GMFB",0.516745992724545,11.5642279740762,4.67455842998564,5.82614365970133e-05,0.000322894708850917,0.643356368677374
"uc010aty.3","CCDC88C",0.475536770397891,11.4047552940398,4.60552051430269,7.07421224450223e-05,0.000382839721467179,0.525443058541372
"uc001xzj.3","CCDC88C",-2.405876500281,4.20184655087198,-4.11603072065944,0.000277160626753791,0.00134204092954467,0.421287561529065
"uc001xkf.2","RAD51B",-1.78473089136811,6.23886204703623,-4.14052795570703,0.000259002501783486,0.00128108764323015,0.383654048234467
"uc021sdy.1","AK130824",-2.61894396170094,4.24278085929623,-4.07627573966217,0.000309326285160432,0.00148218844972707,0.321897210937134
"uc010ttg.2","ADAM21P1",1.2071288888862,6.05499745761743,4.12371003190906,0.000271337731838132,0.00132782294303767,0.136688945617803
"uc001wxv.3","ATP5S",-2.32606566776551,3.95840497835875,-3.94875863314404,0.000439272424112309,0.00202065315091662,0.00808257775547272
"uc001xnx.3","BC044305",-2.31418607934311,4.14591417875058,-3.91024931452232,0.000488120150942619,0.00220305548958161,-0.0863403506327778
"uc021rvh.1","SLC39A9",1.8550693015777,4.21572546492058,3.88655387304482,0.000520778551006975,0.00232580712100202,-0.196698088369845
"uc001wtx.3","NKX2-8",-1.33614965603929,6.60855992750311,-3.95398759110698,0.000433020353589672,0.00201201376415403,-0.201588408432841
"uc001wtl.3","BRMS1L",0.76530390674082,8.84006592390628,4.16977902131739,0.000238849209722189,0.00119424604861095,-0.219864234348675
"uc001wsq.3","FAM177A1",-2.25150391764205,3.81948483974029,-3.82723025509389,0.000612199863919854,0.00270780709041474,-0.288732020018798
"uc001yel.3","SNHG10",1.04442998224837,6.87265583925677,3.97437346540118,0.000409467644478863,0.00192199098428854,-0.340534971223713
"uc001wrf.4","HEATR5A",-0.81691157452675,8.05881307364796,-4.02788975637369,0.000353452665117862,0.00167616727787852,-0.423929573378332
"uc010tqa.1","SEC23A",2.03504477562691,3.66668578707323,3.76721970405517,0.000720572140959615,0.00306910356334651,-0.455175272602056
"uc001ypd.3","ADSSL1",-1.83236122511075,5.74388894888292,-3.74233066028356,0.000770817666528523,0.00322341933275564,-0.568750419717973
"uc010aod.3","C14orf166",0.380471329629973,12.0851432835262,4.26365934312559,0.00018404496032008,0.000940674241635967,-0.576154487185814
"uc001ykr.1","AK311282",-1.98855058978052,5.12132049421619,-3.66815343329651,0.000941660116111164,0.00379968117027312,-0.698556801547868
"uc001vwx.4","CCNB1IP1",1.97457301974938,3.80560592569169,3.63153116107157,0.00103906828651624,0.00415627314606495,-0.784405784204694
